bid_no,end_date
GEM/2025/B/6151329,2025-05-15
GEM/2025/B/6071916,2025-05-20
GEM/2025/B/6188257,2025-05-23
GEM/2025/B/6156091,2025-05-12
GEM/2025/B/6195182,2025-05-27
GEM/2025/B/6071916,2025-05-20
GEM/2025/B/6171542,2025-05-17
GEM/2025/B/6178565,2025-05-20
GEM/2025/B/6188229,2025-05-22
GEM/2025/B/6185866,2025-05-21
GEM/2025/B/6091085,2025-05-22
GEM/2025/B/6147058,2025-05-17
GEM/2025/B/6075671,2025-05-19
GEM/2025/B/6182750,2025-05-20
GEM/2025/B/6185016,2025-05-15
GEM/2025/B/6163858,2025-05-14
GEM/2025/B/6051734,2025-05-13
GEM/2025/B/6194418,2025-05-17
GEM/2025/B/6164251,2025-05-17
GEM/2025/B/6085260,2025-05-19
GEM/2025/B/6098489,2025-05-10
GEM/2025/B/6187226,2025-05-16
GEM/2025/B/6198627,2025-05-16
GEM/2025/B/6204629,2025-05-16
GEM/2025/B/6209864,2025-05-19
GEM/2025/B/6211306,2025-05-23
GEM/2025/B/6182161,2025-05-28
GEM/2025/B/6210556,2025-05-19
GEM/2025/B/6109413,2025-05-20
GEM/2025/B/6187414,2025-05-27
GEM/2025/B/6104606,2025-05-13
GEM/2025/B/6104791,2025-05-13
GEM/2025/B/6196817,2025-05-19
GEM/2025/B/6166780,2025-05-21
GEM/2025/B/6154559,2025-05-15
GEM/2025/B/6153901,2025-05-12
GEM/2025/B/6158693,2025-05-12
GEM/2025/B/6139701,2025-05-14
GEM/2025/B/6157580,2025-05-14
GEM/2025/B/6199888,2025-05-26
GEM/2025/B/6187886,2025-05-12
GEM/2025/B/6161192,2025-05-14
GEM/2025/B/6169642,2025-05-21
GEM/2025/B/6183773,2025-05-12
GEM/2025/B/6037878,2025-05-17
GEM/2025/B/6176837,2025-05-22
GEM/2025/B/5910447,2025-05-15
GEM/2025/B/6198681,2025-05-29
GEM/2025/B/6156095,2025-05-13
GEM/2025/B/6116947,2025-05-16
GEM/2025/B/6170092,2025-05-29
GEM/2025/B/6164150,2025-05-26
GEM/2025/B/6206792,2025-05-10
GEM/2025/B/6172433,2025-05-12
GEM/2025/B/6214374,2025-05-12
GEM/2025/B/6169868,2025-05-17
GEM/2025/B/6204986,2025-05-27
GEM/2025/B/6175450,2025-05-22
GEM/2025/B/6206905,2025-05-09
GEM/2025/B/6199762,2025-05-15
GEM/2025/B/6178633,2025-05-19
GEM/2025/B/6201867,2025-05-19
GEM/2025/B/6206229,2025-05-28
GEM/2025/B/6161038,2025-05-12
GEM/2025/B/6006407,2025-05-10
GEM/2025/B/6184011,2025-05-12
GEM/2025/B/6142330,2025-05-13
GEM/2025/B/5915802,2025-05-15
GEM/2025/B/5993097,2025-05-16
GEM/2025/B/6137597,2025-05-16
GEM/2025/B/6159078,2025-05-19
GEM/2025/B/6208104,2025-05-19
GEM/2025/B/6195667,2025-05-24
GEM/2025/B/6196050,2025-05-24
GEM/2025/B/6201669,2025-05-26
GEM/2025/B/6125219,2025-05-28
GEM/2025/B/6200784,2025-05-26
GEM/2024/B/5765916,2025-05-09
GEM/2025/B/5949810,2025-05-09
GEM/2025/B/6211332,2025-05-12
GEM/2025/B/6161851,2025-05-12
GEM/2025/B/6137860,2025-05-14
GEM/2025/B/6114681,2025-05-15
GEM/2025/B/6114681,2025-05-15
GEM/2025/B/6164887,2025-05-15
GEM/2025/B/6198055,2025-05-16
GEM/2025/B/6191615,2025-05-16
GEM/2025/B/6207787,2025-05-17
GEM/2025/B/6092325,2025-05-17
GEM/2025/B/6091183,2025-05-19
GEM/2025/B/6164890,2025-05-19
GEM/2025/B/6152107,2025-05-19
GEM/2025/B/6188410,2025-05-22
GEM/2025/B/6191180,2025-05-23
GEM/2025/B/6176668,2025-05-23
